stemword,times,origin words
consolid,108,consolidation consolidate consolidated consolidations consolidative consolidates
nanoparticl,108,nanoparticles
nearli,108,nearly
occup,108,occupational occupations occupancy occupants occupancies
carrier,108,carriers
self-report,108,self-reported self-reporting self-reports
meta-analysi,108,meta-analysis
biomark,108,biomarkers
hydroxychloroquin,107,hydroxychloroquine
extrem,107,extremely extremity extremities extremes
lung,106,lungs
anxieti,106,anxiety anxieties
pathophysiolog,106,pathophysiology pathophysiological
translat,106,translated translational translations translating translates translatable
disinfect,105,disinfection disinfectant disinfectants disinfected disinfecting
account,104,accounts accounting accounted accountable accountability
sars-cov-2-specif,104,sars-cov-2-specific
hospitalis,104,hospitalisation hospitalised hospitalisations
match,104,matched matches matching
nab,104,nabs
valuabl,104,valuable
envelop,104,envelope enveloped envelopes envelops
randomli,104,randomly
machin,104,machines machinal
prognosi,103,prognosis
droplet,103,droplets
laboratory-confirm,103,laboratory-confirmed
similar,103,similarities similarity
neutralis,103,neutralisation neutralising
dispar,103,disparities disparate disparity
db,103,dbs
elect,103,elective election elected electively
mother,103,mothers
insuffici,102,insufficient insufficiently insufficiency
cost-effect,102,cost-effective cost-effectiveness cost-effectively
note,102,noted notes noting
entir,102,entire entirely
virolog,102,virology virologic virological virologically
topic,102,topics topical
hygien,102,hygiene hygienic
incorpor,101,incorporating incorporated incorporation incorporates
immunosorb,101,immunosorbent
self-collect,101,self-collection self-collected self-collecting self-collectable
construct,101,constructed construction constructing constructs constructive
messag,101,messages messaging
germani,101,germany
academ,100,academic academics academically
malign,100,malignancy malignancies malignant
adher,100,adhere adherence adherent adhering adhered adheres
complex,100,complexity complexities complexes complexation complexing complexed
recurr,99,recurrent recurrence recurrences
ratio,99,ratios
weekli,99,weekly
benefici,99,beneficial beneficially
speci,98,species
easili,98,easily
enzyme-link,98,enzyme-linked
coeffici,98,coefficients
secret,98,secretions secreted
exampl,98,example examples
anticip,97,anticipation anticipated anticipating anticipates
resolut,97,resolution resolutions resolutely resolutive
lack,97,lacking lacked lacks
elecsi,97,elecsys
counti,96,county counties
unvaccin,96,unvaccinated
invas,95,invasive invasion invasiveness invasions invasively
bilater,95,bilateral
escap,95,escape escaped escapes escaping
sustain,94,sustained sustainable sustainably sustainability sustaining sustainment
precaut,94,precautions
in-hous,94,in-house
infant,94,infants
resist,94,resistance resistant resisting resists
engag,94,engaged engagement engaging engages engagements
display,94,displaying displayed displays
incub,94,incubation incubating incubated
expand,94,expanding expands expanded
disrupt,93,disruptions disruptive disrupts disrupted disrupting
decision-mak,93,decision-making decision-makers
miss,93,missing missed misses
arriv,93,arrived arriving arrival arrivals arrives
occurr,93,occurrence occurrences
engin,93,engineering engineered engines engineers
obes,93,obesity obese
minor,92,minority minorities minors
onc,92,once
handl,92,handled handling handles
intend,92,intends intended intending intenders
elimin,92,eliminating eliminate elimination eliminates eliminated
attend,92,attending attended attendant attendance attendances attendants
storag,92,storage
donat,92,donations donated donating donators
outsid,92,outside
allerg,91,allergic
ethnic,91,ethnicity ethnicities
venou,91,venous
chemiluminesc,91,chemiluminescence chemiluminescent
stratifi,91,stratified stratify stratifying
role,91,roles
false-posit,90,false-positive false-positives
psycholog,90,psychological psychology
hi,90,his
exclus,90,exclusivity exclusive exclusion exclusively exclusions
sociodemograph,90,sociodemographic sociodemographically sociodemographics
enter,90,entered entering enteric enters enteral
synthet,90,synthetic synthetized
step,89,steps stepping stepped
prepared,89,preparedness
autoimmun,89,autoimmune autoimmunity
affin,88,affinity affinities
hypothesi,88,hypothesis
reverse-transcript,88,reverse-transcription
massiv,88,massive massively
etiolog,88,etiological etiology etiologies
triag,88,triaging triage triaged triages
socioeconom,88,socioeconomic socioeconomically socioeconomics
